MAE,RMSE,Precision,Recall,F1,components
0.8185008207667755,1.0284437883108197,0.10576923076923075,0.05109150023223409,0.06890072032527324,40
0.8181679469605032,1.028324193962612,0.10972222222222221,0.05300098054394385,0.07147579775158774,60
0.8176729065081919,1.027834313801264,0.11335470085470083,0.05475563812767714,0.07384208511630917,80
0.8183421504447883,1.028442967256473,0.11271367521367519,0.05444599267172421,0.07342450499312304,100
