dataset,repeat,method,final_accuracy,AULC,runtime_seconds
digitdist_1v7,0,TC-BKME-PMAL,0.9583333333333334,0.78656462585034,0.13737940089777112
digitdist_1v7,0,TC-noReliability,0.9583333333333334,0.7485827664399093,0.13600859930738807
digitdist_1v7,0,TC-noDensity,0.9583333333333334,0.7848639455782314,0.12732199812307954
digitdist_1v7,0,PMARLDS-lite,0.9583333333333334,0.7774943310657596,0.1297924006357789
digitdist_1v7,0,DISTMARGIN,0.9583333333333334,0.7950680272108844,0.12547350022941828
digitdist_1v7,0,HILB-DENSITY,0.5,0.5014172335600907,0.12495240103453398
digitdist_1v7,0,DISTRAND,0.9861111111111112,0.5918367346938774,0.10232169972732663
digitdist_1v7,1,TC-BKME-PMAL,1.0,0.7403628117913832,0.1162905995734036
digitdist_1v7,1,TC-noReliability,1.0,0.7735260770975056,0.11898460192605853
digitdist_1v7,1,TC-noDensity,1.0,0.7443310657596371,0.11920549953356385
digitdist_1v7,1,PMARLDS-lite,1.0,0.7287414965986394,0.11998790130019188
digitdist_1v7,1,DISTMARGIN,0.9722222222222222,0.7236394557823128,0.12409029854461551
digitdist_1v7,1,HILB-DENSITY,0.5,0.5,0.11097370041534305
digitdist_1v7,1,DISTRAND,1.0,0.5768140589569161,0.09150600107386708
digitdist_1v7,2,TC-BKME-PMAL,0.9722222222222222,0.7854308390022675,0.12634379928931594
digitdist_1v7,2,TC-noReliability,0.9861111111111112,0.8015873015873017,0.11773450020700693
digitdist_1v7,2,TC-noDensity,0.9861111111111112,0.7842970521541951,0.11638420168310404
digitdist_1v7,2,PMARLDS-lite,0.9583333333333334,0.7842970521541952,0.1172939008101821
digitdist_1v7,2,DISTMARGIN,0.9861111111111112,0.7624716553287982,0.11645080056041479
digitdist_1v7,2,HILB-DENSITY,0.5138888888888888,0.5022675736961452,0.11424950184300542
digitdist_1v7,2,DISTRAND,0.5833333333333334,0.6017573696145124,0.09588979836553335
digitdist_1v7,3,TC-BKME-PMAL,0.9861111111111112,0.7695578231292517,0.1270154006779194
digitdist_1v7,3,TC-noReliability,0.9583333333333334,0.7774943310657596,0.12370790028944612
digitdist_1v7,3,TC-noDensity,0.9722222222222222,0.790532879818594,0.12511410005390644
digitdist_1v7,3,PMARLDS-lite,0.9861111111111112,0.7619047619047621,0.12537360098212957
digitdist_1v7,3,DISTMARGIN,0.9722222222222222,0.7692743764172335,0.12474890006706119
digitdist_1v7,3,HILB-DENSITY,0.5,0.5022675736961452,0.12081720028072596
digitdist_1v7,3,DISTRAND,0.8194444444444444,0.6462585034013605,0.10219909902662039
digitdist_1v7,4,TC-BKME-PMAL,0.9722222222222222,0.7814625850340136,0.12024010298773646
digitdist_1v7,4,TC-noReliability,0.9861111111111112,0.7604875283446713,0.12049029814079404
digitdist_1v7,4,TC-noDensity,1.0,0.774092970521542,0.12191989738494158
digitdist_1v7,4,PMARLDS-lite,1.0,0.7653061224489796,0.12397179892286658
digitdist_1v7,4,DISTMARGIN,0.9722222222222222,0.8219954648526078,0.12617670046165586
digitdist_1v7,4,HILB-DENSITY,0.7083333333333334,0.5388321995464852,0.12296609999611974
digitdist_1v7,4,DISTRAND,0.9861111111111112,0.6958616780045352,0.0945791988633573
digitdist_1v7,5,TC-BKME-PMAL,1.0,0.7565192743764172,0.12097650114446878
digitdist_1v7,5,TC-noReliability,0.9861111111111112,0.7528344671201815,0.12556769885122776
