dataset,budget,method,mean_accuracy,std_accuracy
20newsdist,38,TC-noReliability,0.5861111111111111,0.10460537247492253
20newsdist,39,TC-noReliability,0.505,0.025921295882862665
20newsdist,40,TC-noReliability,0.5793333333333333,0.10488700563281081
20newsdist,41,TC-noReliability,0.5056666666666667,0.025349166592090976
20newsdist,42,TC-noReliability,0.6024444444444443,0.1071698778391082
20newsdist,43,TC-noReliability,0.507,0.029727361964740778
20newsdist,44,TC-noReliability,0.6015555555555555,0.10587110728628793
20newsdist,45,TC-noReliability,0.5086666666666666,0.03561037440735633
20newsdist,46,TC-noReliability,0.6116666666666668,0.1106783237947914
20newsdist,47,TC-noReliability,0.509,0.030284453902095502
20newsdist,48,TC-noReliability,0.6303333333333334,0.1078133389214095
20newsdist,49,TC-noReliability,0.5125555555555557,0.033990013057577984
20newsdist,50,TC-noReliability,0.6293333333333333,0.10630749715150517
20newsdist,2,TC-noDensity,0.543111111111111,0.05997489186585489
20newsdist,3,TC-noDensity,0.5,0.0
20newsdist,4,TC-noDensity,0.565888888888889,0.06668527518070182
20newsdist,5,TC-noDensity,0.5,0.0
20newsdist,6,TC-noDensity,0.5755555555555556,0.07239296057449746
20newsdist,7,TC-noDensity,0.5,0.0
20newsdist,8,TC-noDensity,0.5907777777777777,0.07820998957381217
20newsdist,9,TC-noDensity,0.5,0.0
20newsdist,10,TC-noDensity,0.6116666666666666,0.07954539041203122
20newsdist,11,TC-noDensity,0.5,0.0
20newsdist,12,TC-noDensity,0.6016666666666667,0.08895310180644433
20newsdist,13,TC-noDensity,0.5,0.0
20newsdist,14,TC-noDensity,0.6037777777777777,0.0868405662730114
20newsdist,15,TC-noDensity,0.5,0.0
20newsdist,16,TC-noDensity,0.6155555555555555,0.09569756888948655
20newsdist,17,TC-noDensity,0.5,0.0
20newsdist,18,TC-noDensity,0.6283333333333332,0.09084819790027976
20newsdist,19,TC-noDensity,0.5,0.0
20newsdist,20,TC-noDensity,0.6575555555555556,0.0786126619399442
20newsdist,21,TC-noDensity,0.5,0.0
20newsdist,22,TC-noDensity,0.6662222222222224,0.07886415887813397
20newsdist,23,TC-noDensity,0.5,0.0
20newsdist,24,TC-noDensity,0.6347777777777776,0.09262835605622621
20newsdist,25,TC-noDensity,0.5,0.0
20newsdist,26,TC-noDensity,0.6556666666666667,0.08473262231248727
20newsdist,27,TC-noDensity,0.5,0.0
20newsdist,28,TC-noDensity,0.6324444444444444,0.09897848625201713
20newsdist,29,TC-noDensity,0.5,0.0
20newsdist,30,TC-noDensity,0.658111111111111,0.08759622574878496
20newsdist,31,TC-noDensity,0.5,0.0
