dataset,method,final_accuracy,std_final,AULC,mean_runtime_seconds
digitdist_4v9,TC-BKME-PMAL,0.9691666666666667,0.02008661798865659,0.764733560090703,0.12365030790679157
digitdist_4v9,TC-noReliability,0.9511111111111112,0.06023616074857689,0.7721145124716553,0.12361850587651134
digitdist_4v9,TC-noDensity,0.9672222222222223,0.023366378716458996,0.7691326530612245,0.1230069141741842
digitdist_4v9,PMARLDS-lite,0.9691666666666667,0.019893621410882092,0.7610600907029479,0.12302409406751394
digitdist_4v9,DISTMARGIN,0.9533333333333331,0.04880991095471706,0.7950793650793652,0.1216557077690959
digitdist_4v9,HILB-DENSITY,0.7013888888888892,0.16292678996680962,0.5587925170068029,0.12202734821476043
digitdist_4v9,DISTRAND,0.8136111111111112,0.1590163144825239,0.596343537414966,0.09708004985004663
