dataset,method,final_accuracy,std_final,AULC,mean_runtime_seconds
digitdist_1v7,TC-BKME-PMAL,0.971388888888889,0.021944444444444444,0.7495578231292518,0.12316039227880538
digitdist_1v7,TC-noReliability,0.9583333333333335,0.049143905591539264,0.7483333333333335,0.12250490580685437
digitdist_1v7,TC-noDensity,0.9711111111111111,0.02337958379166758,0.7536451247165532,0.12210730611346662
digitdist_1v7,PMARLDS-lite,0.9697222222222223,0.03553927578689232,0.7415079365079364,0.12286205633543432
digitdist_1v7,DISTMARGIN,0.9544444444444444,0.0410171599139605,0.7745975056689343,0.12163430390879512
digitdist_1v7,HILB-DENSITY,0.5591666666666667,0.11559728146233146,0.515702947845805,0.11827686411328614
digitdist_1v7,DISTRAND,0.739722222222222,0.15898525632395938,0.5870634920634921,0.09591590402647852
