dataset,method,final_accuracy,std_final,AULC,mean_runtime_seconds
gaussdist_equal,TC-BKME-PMAL,0.9858333333333336,0.015338264102531696,0.928452380952381,0.10895395810715854
gaussdist_equal,TC-noReliability,0.9855555555555557,0.015456030825826174,0.9261054421768709,0.10861824993044138
gaussdist_equal,TC-noDensity,0.9863888888888893,0.014024339512627042,0.923356009070295,0.10811175818555058
gaussdist_equal,PMARLDS-lite,0.9858333333333336,0.014826673494536133,0.9220748299319731,0.10870975015684962
gaussdist_equal,DISTMARGIN,0.982777777777778,0.014043582955293937,0.9305385487528345,0.10854602572508157
gaussdist_equal,HILB-DENSITY,0.6633333333333333,0.1520325257597495,0.5278854875283447,0.09921050576493144
gaussdist_equal,DISTRAND,0.9819444444444444,0.015023130314433288,0.8821145124716553,0.08316800825297832
