dataset,comparison,mean_aulc_delta,tc_wins_aulc,other_wins_aulc,ties_aulc,wilcoxon_p_value,mean_final_delta
gaussdist_equal,TC-BKME-PMAL vs TC-noReliability,0.002346938775510221,23,26,1,0.38137111945196034,0.00027777777777778347
gaussdist_hard_equal,TC-BKME-PMAL vs DISTMARGIN,-0.0029421768707483054,24,26,0,0.6259087101723713,0.004722222222222219
gaussdist_hard_equal,TC-BKME-PMAL vs DISTRAND,0.09963718820861678,45,5,0,4.218847493575595e-12,0.018611111111111113
gaussdist_hard_equal,TC-BKME-PMAL vs HILB-DENSITY,0.2654365079365079,50,0,0,1.7763568394002505e-15,0.3730555555555556
gaussdist_hard_equal,TC-BKME-PMAL vs PMARLDS-lite,0.027131519274376386,30,20,0,0.0003233126534335473,0.003888888888888884
gaussdist_hard_equal,TC-BKME-PMAL vs TC-noDensity,0.1837925170068027,46,4,0,2.433608869978343e-13,0.1827777777777778
gaussdist_hard_equal,TC-BKME-PMAL vs TC-noReliability,0.027641723356009073,37,13,0,0.0001858580190070569,0.0024999999999999957
gaussdist_hard_variable,TC-BKME-PMAL vs DISTMARGIN,0.0012131519274376612,25,25,0,0.7448958960780061,0.004166666666666669
gaussdist_hard_variable,TC-BKME-PMAL vs DISTRAND,0.10170634920634924,48,2,0,1.0870035830988515e-09,0.025555555555555564
gaussdist_hard_variable,TC-BKME-PMAL vs HILB-DENSITY,0.261984126984127,50,0,0,7.553512643873762e-10,0.36083333333333334
gaussdist_hard_variable,TC-BKME-PMAL vs PMARLDS-lite,0.024597505668934233,37,13,0,3.256713547727941e-07,0.0005555555555555469
gaussdist_hard_variable,TC-BKME-PMAL vs TC-noDensity,0.020549886621315194,33,17,0,0.0006909449406366775,-0.0050000000000000044
gaussdist_hard_variable,TC-BKME-PMAL vs TC-noReliability,0.02937074829931972,36,14,0,0.00011054173071452906,0.014444444444444433
gaussdist_variable,TC-BKME-PMAL vs DISTMARGIN,-0.002868480725623592,20,30,0,0.1812167510337035,4.440892098500626e-18
gaussdist_variable,TC-BKME-PMAL vs DISTRAND,0.045578231292517,45,5,0,1.34718902700115e-11,0.006388888888888895
gaussdist_variable,TC-BKME-PMAL vs HILB-DENSITY,0.35506235827664406,50,0,0,1.7763568394002505e-15,0.1613888888888889
gaussdist_variable,TC-BKME-PMAL vs PMARLDS-lite,-0.00017006802721089453,26,21,3,0.7428692427780313,-0.0011111111111111072
gaussdist_variable,TC-BKME-PMAL vs TC-noDensity,-0.0021825396825396835,20,30,0,0.10178931246420823,-0.000277777777777779
gaussdist_variable,TC-BKME-PMAL vs TC-noReliability,0.0058786848072562405,32,18,0,0.004401567872043322,0.0005555555555555625
