dataset,repeat,method,final_accuracy,AULC,runtime_seconds
digitdist_5v6,0,TC-BKME-PMAL,1.0,0.7786281179138322,0.11932490020990372
digitdist_5v6,0,TC-noReliability,0.9861111111111112,0.7613378684807257,0.123012600466609
digitdist_5v6,0,TC-noDensity,1.0,0.7511337868480726,0.1215673009864986
digitdist_5v6,0,PMARLDS-lite,1.0,0.7808956916099773,0.13178690010681748
digitdist_5v6,0,DISTMARGIN,0.9583333333333334,0.7902494331065759,0.1300276000984013
digitdist_5v6,0,HILB-DENSITY,0.6805555555555556,0.6666666666666666,0.11917510163038969
digitdist_5v6,0,DISTRAND,0.8055555555555556,0.6621315192743764,0.09401450073346496
digitdist_5v6,1,TC-BKME-PMAL,0.9722222222222222,0.7349773242630386,0.12149009807035327
digitdist_5v6,1,TC-noReliability,0.9722222222222222,0.7363945578231291,0.12159110000357032
digitdist_5v6,1,TC-noDensity,0.9861111111111112,0.753968253968254,0.12148489989340305
digitdist_5v6,1,PMARLDS-lite,0.9861111111111112,0.7256235827664399,0.12417199928313494
digitdist_5v6,1,DISTMARGIN,0.9861111111111112,0.8075396825396827,0.12660659942775965
digitdist_5v6,1,HILB-DENSITY,0.5277777777777778,0.5104875283446713,0.1239338992163539
digitdist_5v6,1,DISTRAND,0.8333333333333334,0.6927437641723355,0.09752710163593292
digitdist_5v6,2,TC-BKME-PMAL,0.9583333333333334,0.7369614512471655,0.12442310014739633
digitdist_5v6,2,TC-noReliability,0.9722222222222222,0.7596371882086168,0.12122499942779541
digitdist_5v6,2,TC-noDensity,0.9722222222222222,0.73781179138322,0.11964590009301901
digitdist_5v6,2,PMARLDS-lite,0.9722222222222222,0.7315759637188208,0.12125930236652493
digitdist_5v6,2,DISTMARGIN,0.9861111111111112,0.7831632653061225,0.12328949896618724
digitdist_5v6,2,HILB-DENSITY,0.875,0.5960884353741497,0.1264764005318284
digitdist_5v6,2,DISTRAND,0.8888888888888888,0.5881519274376418,0.09925279952585697
digitdist_5v6,3,TC-BKME-PMAL,1.0,0.7627551020408163,0.11983059998601675
digitdist_5v6,3,TC-noReliability,1.0,0.7701247165532881,0.12360810022801161
digitdist_5v6,3,TC-noDensity,0.9583333333333334,0.743764172335601,0.11759479995816946
digitdist_5v6,3,PMARLDS-lite,1.0,0.7607709750566893,0.11840400192886591
digitdist_5v6,3,DISTMARGIN,0.9583333333333334,0.8007369614512472,0.12197210127487779
digitdist_5v6,3,HILB-DENSITY,0.5,0.546201814058957,0.11883450066670775
digitdist_5v6,3,DISTRAND,0.5277777777777778,0.5048185941043084,0.0931803984567523
digitdist_5v6,4,TC-BKME-PMAL,0.9861111111111112,0.7284580498866213,0.12197040021419525
digitdist_5v6,4,TC-noReliability,0.8611111111111112,0.7573696145124718,0.12175580067560077
digitdist_5v6,4,TC-noDensity,0.9861111111111112,0.7497165532879819,0.12572789890691638
digitdist_5v6,4,PMARLDS-lite,0.9583333333333334,0.7414965986394558,0.12470519915223122
digitdist_5v6,4,DISTMARGIN,0.9166666666666666,0.7746598639455782,0.1207507005892694
digitdist_5v6,4,HILB-DENSITY,0.5694444444444444,0.5212585034013605,0.11754249921068549
digitdist_5v6,4,DISTRAND,0.5,0.5124716553287982,0.09428499918431044
digitdist_5v6,5,TC-BKME-PMAL,0.9583333333333334,0.71343537414966,0.1262765023857355
digitdist_5v6,5,TC-noReliability,0.9861111111111112,0.7505668934240365,0.12217079708352685
digitdist_5v6,5,TC-noDensity,0.9861111111111112,0.7321428571428573,0.12259530136361718
digitdist_5v6,5,PMARLDS-lite,0.9722222222222222,0.7264739229024944,0.127553999889642
digitdist_5v6,5,DISTMARGIN,0.9861111111111112,0.7706916099773243,0.12265010131523013
digitdist_5v6,5,HILB-DENSITY,0.5,0.5498866213151927,0.12341129966080189
digitdist_5v6,5,DISTRAND,0.5,0.5249433106575964,0.09776229877024889
digitdist_5v6,6,TC-BKME-PMAL,0.9722222222222222,0.7500000000000001,0.12228860147297382
digitdist_5v6,6,TC-noReliability,0.9722222222222222,0.7301587301587302,0.12139359954744577
digitdist_5v6,6,TC-noDensity,0.9166666666666666,0.7310090702947846,0.1232228996232152
digitdist_5v6,6,PMARLDS-lite,0.9722222222222222,0.7539682539682541,0.12350919796153903
digitdist_5v6,6,DISTMARGIN,0.9861111111111112,0.7842970521541951,0.12291779834777117
digitdist_5v6,6,HILB-DENSITY,0.7083333333333334,0.6077097505668934,0.12558079836890101
