dataset,repeat,method,final_accuracy,AULC,runtime_seconds
digitdist_4v9,0,TC-BKME-PMAL,1.0,0.7780612244897959,0.13558620167896152
digitdist_4v9,0,TC-noReliability,0.9305555555555556,0.7925170068027212,0.13898399891331792
digitdist_4v9,0,TC-noDensity,1.0,0.7871315192743764,0.13311150018125772
digitdist_4v9,0,PMARLDS-lite,1.0,0.7576530612244898,0.13625289872288704
digitdist_4v9,0,DISTMARGIN,0.9861111111111112,0.8030045351473925,0.13274580240249634
digitdist_4v9,0,HILB-DENSITY,0.625,0.5124716553287981,0.154244901612401
digitdist_4v9,0,DISTRAND,0.7083333333333334,0.5136054421768708,0.11007300112396479
digitdist_4v9,1,TC-BKME-PMAL,1.0,0.7706916099773242,0.11968109896406531
digitdist_4v9,1,TC-noReliability,0.9722222222222222,0.7735260770975056,0.11933729937300086
digitdist_4v9,1,TC-noDensity,1.0,0.7624716553287982,0.11987570114433765
digitdist_4v9,1,PMARLDS-lite,1.0,0.7372448979591837,0.12314110156148672
digitdist_4v9,1,DISTMARGIN,0.9861111111111112,0.8146258503401361,0.12239439971745014
digitdist_4v9,1,HILB-DENSITY,0.5,0.5017006802721089,0.11935400031507015
digitdist_4v9,1,DISTRAND,0.9861111111111112,0.5547052154195011,0.09510300122201443
digitdist_4v9,2,TC-BKME-PMAL,1.0,0.7899659863945577,0.1217042999342084
digitdist_4v9,2,TC-noReliability,0.9027777777777778,0.7874149659863946,0.12684669950976968
digitdist_4v9,2,TC-noDensity,1.0,0.7905328798185942,0.12132610101252794
digitdist_4v9,2,PMARLDS-lite,1.0,0.7505668934240363,0.11982070049270988
digitdist_4v9,2,DISTMARGIN,0.9444444444444444,0.8279478458049886,0.11813340103253722
digitdist_4v9,2,HILB-DENSITY,0.6388888888888888,0.5178571428571429,0.11812859866768122
digitdist_4v9,2,DISTRAND,0.9722222222222222,0.7103174603174602,0.0960639975965023
digitdist_4v9,3,TC-BKME-PMAL,0.9444444444444444,0.736111111111111,0.12106370087713003
digitdist_4v9,3,TC-noReliability,0.9444444444444444,0.7179705215419502,0.12462009955197573
digitdist_4v9,3,TC-noDensity,0.9444444444444444,0.7414965986394557,0.12120879953727126
digitdist_4v9,3,PMARLDS-lite,0.9444444444444444,0.723922902494331,0.1213113022968173
digitdist_4v9,3,DISTMARGIN,0.9583333333333334,0.7227891156462585,0.11794950114563107
digitdist_4v9,3,HILB-DENSITY,0.9583333333333334,0.6139455782312925,0.11697360035032034
digitdist_4v9,3,DISTRAND,0.7916666666666666,0.5592403628117913,0.09368989942595363
digitdist_4v9,4,TC-BKME-PMAL,0.9722222222222222,0.7497165532879818,0.12522940104827285
digitdist_4v9,4,TC-noReliability,0.9861111111111112,0.7403628117913832,0.12360349902883172
digitdist_4v9,4,TC-noDensity,0.9722222222222222,0.7366780045351474,0.12575390096753836
digitdist_4v9,4,PMARLDS-lite,0.9722222222222222,0.752267573696145,0.12719410099089146
digitdist_4v9,4,DISTMARGIN,0.9444444444444444,0.7959183673469387,0.12123370077461004
digitdist_4v9,4,HILB-DENSITY,0.8611111111111112,0.592687074829932,0.12538920110091567
digitdist_4v9,4,DISTRAND,0.9722222222222222,0.6646825396825397,0.10373699944466352
digitdist_4v9,5,TC-BKME-PMAL,0.9583333333333334,0.7332766439909297,0.12825549906119704
digitdist_4v9,5,TC-noReliability,0.8611111111111112,0.7414965986394558,0.1253088004887104
digitdist_4v9,5,TC-noDensity,0.9444444444444444,0.7576530612244898,0.12001170124858618
digitdist_4v9,5,PMARLDS-lite,0.9444444444444444,0.7332766439909297,0.13228010293096304
digitdist_4v9,5,DISTMARGIN,0.9166666666666666,0.7619047619047619,0.12420470034703612
digitdist_4v9,5,HILB-DENSITY,0.625,0.5167233560090703,0.1369821005500853
digitdist_4v9,5,DISTRAND,0.6527777777777778,0.5206916099773242,0.10008349874988198
digitdist_4v9,6,TC-BKME-PMAL,0.9722222222222222,0.7879818594104308,0.12453229911625385
digitdist_4v9,6,TC-noReliability,0.9444444444444444,0.7508503401360546,0.12330770120024681
digitdist_4v9,6,TC-noDensity,0.9861111111111112,0.7721088435374148,0.12216950068250299
digitdist_4v9,6,PMARLDS-lite,0.9722222222222222,0.7689909297052154,0.1223818976432085
digitdist_4v9,6,DISTMARGIN,0.9583333333333334,0.7919501133786848,0.12258889665827155
digitdist_4v9,6,HILB-DENSITY,0.6805555555555556,0.5756802721088435,0.1257728012278676
digitdist_4v9,6,DISTRAND,0.6805555555555556,0.6145124716553287,0.10317870182916522
digitdist_4v9,7,TC-BKME-PMAL,0.9444444444444444,0.8013038548752833,0.12757080048322678
digitdist_4v9,7,TC-noReliability,0.9722222222222222,0.7981859410430838,0.12132479855790734
digitdist_4v9,7,TC-noDensity,0.9583333333333334,0.7859977324263038,0.1206458997912705
digitdist_4v9,7,PMARLDS-lite,0.9444444444444444,0.7945011337868481,0.11850200081244111
digitdist_4v9,7,DISTMARGIN,0.9722222222222222,0.8290816326530612,0.11814779927954078
digitdist_4v9,7,HILB-DENSITY,0.875,0.638888888888889,0.12033949978649616
digitdist_4v9,7,DISTRAND,0.9444444444444444,0.7018140589569161,0.09587789932265878
digitdist_4v9,8,TC-BKME-PMAL,0.9583333333333334,0.7551020408163267,0.13067330233752728
digitdist_4v9,8,TC-noReliability,0.9583333333333334,0.7675736961451249,0.12763869808986783
digitdist_4v9,8,TC-noDensity,0.9444444444444444,0.7514172335600907,0.12878680089488626
digitdist_4v9,8,PMARLDS-lite,0.9583333333333334,0.7468820861678004,0.12378690205514431
digitdist_4v9,8,DISTMARGIN,0.9166666666666666,0.7596371882086168,0.12536370009183884
digitdist_4v9,8,HILB-DENSITY,0.8611111111111112,0.5909863945578231,0.12477810168638825
digitdist_4v9,8,DISTRAND,0.7916666666666666,0.6502267573696145,0.10219360003247857
digitdist_4v9,9,TC-BKME-PMAL,0.9861111111111112,0.7709750566893424,0.11862190067768097
digitdist_4v9,9,TC-noReliability,0.9861111111111112,0.8030045351473925,0.11602290160953999
digitdist_4v9,9,TC-noDensity,0.9861111111111112,0.7967687074829933,0.1162020000629127
digitdist_4v9,9,PMARLDS-lite,0.9861111111111112,0.7902494331065759,0.11609300179407
digitdist_4v9,9,DISTMARGIN,0.9722222222222222,0.8228458049886622,0.12017879961058497
digitdist_4v9,9,HILB-DENSITY,0.9861111111111112,0.6950113378684808,0.12705279933288693
digitdist_4v9,9,DISTRAND,0.9583333333333334,0.6147959183673469,0.09858980029821396
digitdist_4v9,10,TC-BKME-PMAL,0.9305555555555556,0.7310090702947846,0.12357949838042259
digitdist_4v9,10,TC-noReliability,0.9305555555555556,0.7412131519274376,0.12454709829762578
digitdist_4v9,10,TC-noDensity,0.9305555555555556,0.7346938775510204,0.13077260041609406
digitdist_4v9,10,PMARLDS-lite,0.9305555555555556,0.7380952380952381,0.12403100123628974
digitdist_4v9,10,DISTMARGIN,0.9583333333333334,0.7814625850340136,0.11934519885107875
digitdist_4v9,10,HILB-DENSITY,0.5,0.5,0.11629510018974543
digitdist_4v9,10,DISTRAND,0.5277777777777778,0.5102040816326531,0.09471439989283681
digitdist_4v9,11,TC-BKME-PMAL,0.9444444444444444,0.7077664399092971,0.12126019736751914
digitdist_4v9,11,TC-noReliability,0.9722222222222222,0.746031746031746,0.12443700060248375
digitdist_4v9,11,TC-noDensity,0.9861111111111112,0.7585034013605443,0.12367420177906752
digitdist_4v9,11,PMARLDS-lite,0.9722222222222222,0.7332766439909296,0.1274601025506854
digitdist_4v9,11,DISTMARGIN,0.9722222222222222,0.7704081632653061,0.12359559815376997
digitdist_4v9,11,HILB-DENSITY,0.5,0.5263605442176871,0.11982090258970857
digitdist_4v9,11,DISTRAND,0.5,0.5099206349206349,0.09518620138987899
