date,avg_heart_rate,max_heart_rate,min_heart_rate,avg_spo2,max_spo2,min_spo2,daily_step_count,shoulder_asymmetry,slouch_angle,Jitter,Shimmer,HNR,F1,F2
3/19/2026,74.42,119,49,97.58,99,92,4061,1.57312,174.2069011,0.002861635,0.040671121,22.62219911,636.13863,1173.69202
3/20/2026,79.2,184,56,97.59,99,92,4061,1.573554903,174.3005537,0.002928407,0.040615711,22.55576525,635.0310114,1173.03073
3/21/2026,78.54,175,52,97.84,99,96,3644,1.573989807,174.3942064,0.002995179,0.0405603,22.48933139,633.9233927,1172.369441
3/22/2026,77.74,176,55,97.83,99,96,3372,1.57442471,174.487859,0.003061952,0.04050489,22.42289753,632.8157741,1171.708151
3/23/2026,81.91,180,54,97.79,99,93,5444,1.574859614,174.5815117,0.003128724,0.04044948,22.35646366,631.7081554,1171.046862
3/24/2026,86.8,175,64,97.74,99,92,5984,1.575294517,174.6751643,0.003195496,0.040394069,22.2900298,630.6005368,1170.385572
3/25/2026,76.49,166,51,97.59,99,92,5984,1.57572942,174.768817,0.003262268,0.040338659,22.22359594,629.4929181,1169.724283
3/26/2026,77.53,184,54,97.73,99,92,4610,1.576164324,174.8624696,0.003329041,0.040283249,22.15716208,628.3852995,1169.062993
3/27/2026,78.91,162,55,97.68,99,92,4320,1.576599227,174.9561223,0.003395813,0.040227839,22.09072822,627.2776808,1168.401704
3/28/2026,79.31,178,57,97.58,99,92,2810,1.577034131,175.0497749,0.003462585,0.040172428,22.02429436,626.1700622,1167.740414
3/29/2026,79.05,177,52,97.49,99,92,3126,1.577469034,175.1434276,0.003529357,0.040117018,21.95786049,625.0624435,1167.079125
3/30/2026,79.75,177,52,97.48,99,92,5939,1.577903937,175.2370802,0.003596129,0.040061608,21.89142663,623.9548249,1166.417835
3/31/2026,67.73,110,51,97.19,99,92,5939,1.578338841,175.3307329,0.003662902,0.040006197,21.82499277,622.8472062,1165.756546
4/1/2026,78.33,115,54,97.32,99,92,3438,1.578773744,175.4243855,0.003729674,0.039950787,21.75855891,621.7395876,1165.095256
4/2/2026,75.23,129,53,97.66,99,96,3988,1.579208647,175.5180382,0.003796446,0.039895377,21.69212505,620.6319689,1164.433967
4/3/2026,78.07,170,50,97.42,99,92,4868,1.579643551,175.6116908,0.003863218,0.039839966,21.62569119,619.5243503,1163.772677
4/4/2026,77.47,182,47,97.48,99,92,4868,1.580078454,175.7053435,0.003929991,0.039784556,21.55925733,618.4167316,1163.111388
4/5/2026,76.78,119,51,97.72,99,96,3874,1.580513358,175.7989961,0.003996763,0.039729146,21.49282346,617.309113,1162.450098
4/6/2026,73.23,108,55,97.4,99,92,3252,1.580948261,175.8926488,0.004063535,0.039673735,21.4263896,616.2014943,1161.788808
4/7/2026,72.94,173,52,97.78,99,94,5725,1.581383164,175.9863014,0.004130307,0.039618325,21.35995574,615.0938757,1161.127519
4/8/2026,77.65,170,54,97.83,99,96,5725,1.581818068,176.0799541,0.004197079,0.039562915,21.29352188,613.986257,1160.466229
4/9/2026,74.85,132,53,97.78,99,96,3019,1.582252971,176.1736067,0.004263852,0.039507504,21.22708802,612.8786384,1159.80494
4/10/2026,94.89,132,74,97.36,99,92,3608,1.582687875,176.2672594,0.004330624,0.039452094,21.16065416,611.7710197,1159.14365
4/11/2026,79.88,176,53,97.8,99,92,4560,1.583122778,176.360912,0.004397396,0.039396684,21.09422029,610.6634011,1158.482361
4/12/2026,82.8,164,56,97.79,99,96,5029,1.583557681,176.4545647,0.004464168,0.039341273,21.02778643,609.5557824,1157.821071
4/13/2026,79.77,180,53,97.71,99,92,5555,1.583992585,176.5482173,0.00453094,0.039285863,20.96135257,608.4481637,1157.159782
4/14/2026,96.4,177,57,97.71,99,92,5555,1.584427488,176.64187,0.004597713,0.039230453,20.89491871,607.3405451,1156.498492
4/15/2026,95.16,143,65,97.46,99,96,3917,1.584862392,176.7355226,0.004664485,0.039175043,20.82848485,606.2329264,1155.837203
4/16/2026,85.17,111,61,97.72,99,96,3472,1.585297295,176.8291753,0.004731257,0.039119632,20.76205099,605.1253078,1155.175913
4/17/2026,76.72,169,53,97.87,99,96,7732,1.585732198,176.9228279,0.004798029,0.039064222,20.69561712,604.0176891,1154.514624
4/18/2026,85.33,129,53,97.59,99,94,7831,1.586167102,177.0164806,0.004864802,0.039008812,20.62918326,602.9100705,1153.853334
4/19/2026,88.69,152,52,97.44,99,92,7831,1.586602005,177.1101332,0.004931574,0.038953401,20.5627494,601.8024518,1153.192045
4/20/2026,99.21,168,65,97.59,99,92,7841,1.587036908,177.2037859,0.004998346,0.038897991,20.49631554,600.6948332,1152.530755
4/21/2026,83.16,133,54,97.82,99,92,2837,1.587471812,177.2974385,0.004957083,0.039842479,20.38803131,601.8127818,1156.201115
4/22/2026,83.46,167,59,97.91,99,96,4688,1.587906715,177.3910912,0.00491582,0.040786967,20.27974708,602.9307303,1159.871474
4/23/2026,72.05,121,50,97.37,99,92,4924,1.588341619,177.4847438,0.004874558,0.041731455,20.17146286,604.0486789,1163.541834
4/24/2026,94.87,162,70,97.9,99,96,7201,1.588776522,177.5783965,0.004833295,0.042675943,20.06317863,605.1666275,1167.212193
4/25/2026,87.12,135,53,97.6,99,96,7201,1.589211425,177.6720491,0.004792032,0.043620431,19.9548944,606.284576,1170.882553
4/26/2026,86.12,167,53,97.58,99,92,7082,1.589646329,177.7657018,0.004750769,0.044564919,19.84661017,607.4025246,1174.552912
4/27/2026,86.26,160,53,97.47,99,92,7033,1.590081232,177.8593544,0.004709506,0.045509407,19.73832595,608.5204732,1178.223272
4/28/2026,83.28,119,51,97.86,99,96,6491,1.590516136,177.9530071,0.004668243,0.046453895,19.63004172,609.6384217,1181.893631
4/29/2026,83.93,160,50,97.5,99,93,6491,1.590951039,178.0466597,0.004626981,0.047398383,19.52175749,610.7563703,1185.563991
4/30/2026,118.36,165,64,97.31,99,94,3021,1.591385942,178.1403124,0.004585718,0.048342871,19.41347326,611.8743189,1189.23435
5/1/2026,100.8,174,51,97.69,99,92,6784,1.591820846,178.233965,0.004544455,0.049287359,19.30518903,612.9922674,1192.90471
