dataset,method,mean_future_loss,CVaR_0.20,worst_round_loss,best_round_loss,rounds
digitdist_0v1,DISTMARGIN,0.13939909297052155,0.47472222222222216,0.5,0.00277777777777799,49
digitdist_0v1,DISTRAND,0.3145691609977324,0.5,0.5,0.036111111111111205,49
digitdist_0v1,HILB-DENSITY,0.4926303854875284,0.5,0.5,0.2833333333333333,49
digitdist_0v1,PMARLDS-lite,0.15969387755102044,0.5,0.5,0.00277777777777799,49
digitdist_0v1,TC-BKME-PMAL,0.15419501133786853,0.49861111111111106,0.5,0.005555555555555647,49
gaussdist_equal,DISTMARGIN,0.08398692810457516,0.2841269841269842,0.5,0.016666666666666607,34
gaussdist_equal,DISTRAND,0.15343137254901956,0.4345238095238095,0.5,0.022222222222222032,34
gaussdist_equal,HILB-DENSITY,0.4888888888888888,0.5,0.5,0.12222222222222234,34
gaussdist_equal,PMARLDS-lite,0.09468954248366011,0.3349206349206349,0.5,0.01388888888888895,34
gaussdist_equal,TC-BKME-PMAL,0.09060457516339869,0.31111111111111117,0.5,0.019444444444444375,34
gaussdist_variable,DISTMARGIN,0.09240196078431372,0.29325396825396827,0.5,0.01388888888888895,34
gaussdist_variable,DISTRAND,0.12606209150326794,0.37539682539682545,0.5,0.01388888888888895,34
gaussdist_variable,HILB-DENSITY,0.4802287581699347,0.5,0.5,0.13333333333333341,34
gaussdist_variable,PMARLDS-lite,0.09460784313725483,0.3436507936507937,0.5,0.01388888888888895,34
gaussdist_variable,TC-BKME-PMAL,0.09534313725490194,0.3503968253968254,0.5,0.011111111111111183,34
