dataset,method,final_accuracy,std_final,AULC,mean_runtime_seconds
digitdist_0v1,TC-BKME-PMAL,0.9944444444444445,0.006804138174397693,0.8458049886621316,0.06697149659999922
digitdist_0v1,PMARLDS-lite,0.9944444444444445,0.006804138174397694,0.8403061224489797,0.06697149659999922
digitdist_0v1,DISTMARGIN,0.9972222222222221,0.005555555555555537,0.8606009070294784,0.06697149659999922
digitdist_0v1,HILB-DENSITY,0.5694444444444444,0.06860605019571374,0.5073696145124715,0.06697149659999922
digitdist_0v1,DISTRAND,0.9638888888888889,0.059317101400173954,0.6854308390022675,0.06697149659999922
