dataset,method,final_accuracy,std_final,AULC,mean_runtime_seconds
digitdist_4v9,TC-BKME-PMAL,0.9691666666666667,0.02008661798865659,0.764733560090703,0.13899011198431255
digitdist_4v9,PMARLDS-lite,0.9675000000000002,0.021446531274397364,0.7624659863945578,0.13735312809236347
digitdist_4v9,DISTMARGIN,0.9486111111111117,0.048212652660304944,0.7943990929705217,0.136320187933743
digitdist_4v9,HILB-DENSITY,0.703888888888889,0.1617907122423943,0.5589285714285714,0.13571445393376053
digitdist_4v9,DISTRAND,0.7666666666666666,0.15553075199077132,0.6051700680272109,0.10846721421927213
