dataset,method,final_accuracy,std_final,AULC,mean_runtime_seconds
digitdist_0v1,TC-BKME-PMAL,0.991388888888889,0.012695994313362697,0.834030612244898,0.14033212402835488
digitdist_0v1,PMARLDS-lite,0.9913888888888889,0.012996319516988422,0.828934240362812,0.1390555041935295
digitdist_0v1,DISTMARGIN,0.9947222222222224,0.009166666666666655,0.8632709750566894,0.13750395204871893
digitdist_0v1,HILB-DENSITY,0.6413888888888889,0.15129813793702113,0.5171768707482993,0.13210472201928497
digitdist_0v1,DISTRAND,0.9619444444444444,0.051953356335927924,0.6958843537414965,0.10798159204423427
