dataset,method,final_accuracy,std_final,AULC,mean_runtime_seconds
digitdist_3v8,TC-BKME-PMAL,0.9224999999999999,0.032285617713017536,0.6936904761904762,0.11781221997924149
digitdist_3v8,PMARLDS-lite,0.9280555555555557,0.03126573677840163,0.6928117913832199,0.11773068606853485
digitdist_3v8,DISTMARGIN,0.9016666666666668,0.06932434058489748,0.7185600907029477,0.11672955393791198
digitdist_3v8,HILB-DENSITY,0.5819444444444444,0.1556857094387818,0.5298185941043085,0.11615174210630358
digitdist_3v8,DISTRAND,0.5944444444444446,0.1473008175951428,0.5481632653061225,0.09260246790014208
