dataset,budget,method,mean_accuracy,std_accuracy
digitdist_5v6,37,PMARLDS-lite,0.5522222222222224,0.06511860025188987
digitdist_5v6,38,PMARLDS-lite,0.9650000000000002,0.02208988372452339
digitdist_5v6,39,PMARLDS-lite,0.5797222222222222,0.08130921394039511
digitdist_5v6,40,PMARLDS-lite,0.9641666666666666,0.020239690257718743
digitdist_5v6,41,PMARLDS-lite,0.6319444444444443,0.10176869500956875
digitdist_5v6,42,PMARLDS-lite,0.9647222222222221,0.021732449993409616
digitdist_5v6,43,PMARLDS-lite,0.6924999999999999,0.10988946466538296
digitdist_5v6,44,PMARLDS-lite,0.9652777777777779,0.021017702708918833
digitdist_5v6,45,PMARLDS-lite,0.7191666666666667,0.11063404528131765
digitdist_5v6,46,PMARLDS-lite,0.963888888888889,0.021872244094477262
digitdist_5v6,47,PMARLDS-lite,0.7625000000000002,0.11601171982089768
digitdist_5v6,48,PMARLDS-lite,0.965,0.019883922409081434
digitdist_5v6,49,PMARLDS-lite,0.8077777777777773,0.10770329614269006
digitdist_5v6,50,PMARLDS-lite,0.9652777777777779,0.020647317704609047
digitdist_5v6,2,DISTMARGIN,0.6397222222222222,0.15024183180689513
digitdist_5v6,3,DISTMARGIN,0.5,0.0
digitdist_5v6,4,DISTMARGIN,0.7008333333333334,0.14662378371402535
digitdist_5v6,5,DISTMARGIN,0.5,0.0
digitdist_5v6,6,DISTMARGIN,0.8105555555555556,0.11846367365276428
digitdist_5v6,7,DISTMARGIN,0.5,0.0
digitdist_5v6,8,DISTMARGIN,0.8444444444444444,0.10103629710818449
digitdist_5v6,9,DISTMARGIN,0.5,0.0
digitdist_5v6,10,DISTMARGIN,0.8722222222222219,0.10046189622236179
digitdist_5v6,11,DISTMARGIN,0.5,0.0
digitdist_5v6,12,DISTMARGIN,0.8847222222222222,0.08071105680982023
digitdist_5v6,13,DISTMARGIN,0.5,0.0
digitdist_5v6,14,DISTMARGIN,0.9052777777777777,0.07156161551289081
digitdist_5v6,15,DISTMARGIN,0.5,0.0
digitdist_5v6,16,DISTMARGIN,0.9122222222222224,0.06075908711186063
digitdist_5v6,17,DISTMARGIN,0.5019444444444444,0.006809805928961806
digitdist_5v6,18,DISTMARGIN,0.9205555555555556,0.05114733016215069
digitdist_5v6,19,DISTMARGIN,0.5052777777777778,0.016641184223055723
digitdist_5v6,20,DISTMARGIN,0.9250000000000003,0.04770990010366018
digitdist_5v6,21,DISTMARGIN,0.5177777777777779,0.04120484809064146
digitdist_5v6,22,DISTMARGIN,0.9280555555555554,0.07651202197153621
digitdist_5v6,23,DISTMARGIN,0.5341666666666668,0.060680935440432425
digitdist_5v6,24,DISTMARGIN,0.937777777777778,0.04037249399783148
digitdist_5v6,25,DISTMARGIN,0.551388888888889,0.0748068500527513
digitdist_5v6,26,DISTMARGIN,0.9405555555555557,0.04427397864643731
digitdist_5v6,27,DISTMARGIN,0.5791666666666668,0.10093123499457868
digitdist_5v6,28,DISTMARGIN,0.9430555555555558,0.04350127712046063
digitdist_5v6,29,DISTMARGIN,0.6197222222222222,0.11496409799220145
digitdist_5v6,30,DISTMARGIN,0.942777777777778,0.0378471585116691
digitdist_5v6,31,DISTMARGIN,0.6641666666666666,0.12205449349661834
digitdist_5v6,32,DISTMARGIN,0.9358333333333337,0.050299258762915834
digitdist_5v6,33,DISTMARGIN,0.691111111111111,0.11701535195260744
digitdist_5v6,34,DISTMARGIN,0.943611111111111,0.0348508727772108
digitdist_5v6,35,DISTMARGIN,0.7472222222222221,0.11606990230986769
